,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type
X25,57999,65600,51031,58650,62515.2326,65798.4918,62388.05137,62277.73169,25,HTS:COMB
X26,35892,47254,33761,42262,35320.96049,43767.47208,37627.72843,42001.24713,26,HTS:COMB
X27,49688,63333,40204,57079,44446.90137,63185.03486,49197.93844,58906.41376,27,HTS:COMB
X28,22696,32563,20859,32451,24104.22689,29641.6495,25175.90283,28695.82136,28,HTS:COMB
X29,40266,50855,37457,45123,43951.25503,53361.01367,47124.40632,51257.61549,29,HTS:COMB
X30,21603,26303,18725,24368,21909.37916,25385.2032,23464.58104,24316.90932,30,HTS:COMB
X31,31240,38223,29525,33732,31238.28538,36008.01496,34134.93929,34139.86783,31,HTS:COMB
X33,42947,51575,40769,44097,44072.11518,52697.811,46374.55907,50645.73096,33,HTS:COMB
X34,46938,56661,40804,47688,40173.07294,52017.32133,43195.29732,49185.83418,34,HTS:COMB
X35,58449,75304,47704,58751,52452.70757,76036.3929,60440.41808,70753.51034,35,HTS:COMB
X37,35599,46140,33045,41853,36395.71532,42981.40253,38905.59397,42019.51456,37,HTS:COMB
X38,30014,43200,27715,36029,27636.79984,39621.01332,31383.44055,37045.37017,38,HTS:COMB
X39,23247,30991,21427,32916,25937.57773,34253.57409,28210.82192,32719.72521,39,HTS:COMB
X40,23031,28918,25224,26328,24687.71853,26639.31529,25610.30198,26461.90353,40,HTS:COMB
X42,52677,65226,48837,57047,54788.48799,66922.05815,58402.37738,63961.98536,42,HTS:COMB
X43,31905,41134,30327,37034,34246.56957,42912.42192,37418.10651,40922.3798,43,HTS:COMB
X44,25323,34895,24389,31814,26617.64253,35764.99454,29223.28674,33905.86204,44,HTS:COMB
X45,27705,36896,27931,30659,26772.19654,34168.14432,28722.53497,32504.27434,45,HTS:COMB
X47,39002,50227,34536,41714,39977.49806,47706.18506,42067.97776,45800.73784,47,HTS:COMB
X48,18510,23535,16543,18820,19173.12258,22710.02196,20272.25426,21948.84828,48,HTS:COMB
X49,40798,51329,40189,49252,40542.09602,47929.2938,42392.38008,45954.54811,49,HTS:COMB
X50,22600,32021,22050,27798,20121.50357,27958.40081,22161.85008,26271.16711,50,HTS:COMB
X53,29262,36331,26459,33803,27942.91799,33212.12248,30627.09748,30630.39491,53,HTS:COMB
X54,40180,52331,38909,50043,42967.78986,47239.43888,46069.63124,46078.75176,54,HTS:COMB
X55,28773,33154,22805,29899,27527.34618,32491.29942,29278.94196,31357.68714,55,HTS:COMB
X56,46275,55610,45413,46135,44659.81851,50857.24714,47529.7543,49316.86336,56,HTS:COMB
X57,45906,60932,42938,56987,49376.77019,53980.60886,52021.24487,52863.67247,57,HTS:COMB
X59,28472,35097,26599,32150,27312.22693,34876.84278,30183.61269,33095.35797,59,HTS:COMB
X60,48453,59689,41160,57371,45748.76017,55976.59442,48737.20727,53651.50153,60,HTS:COMB
X61,26301,35862,29862,32508,27485.47836,34488.02183,29007.15652,32763.8093,61,HTS:COMB
X62,34649,42543,31282,37708,33962.32251,40591.89538,35846.50062,38893.67923,62,HTS:COMB
X63,38624,51519,34536,48096,36361.09587,47986.49565,40080.27515,45059.65371,63,HTS:COMB
X64,58917,76020,53422,65730,58246.19935,72614.78133,64421.89446,69439.5361,64,HTS:COMB
X65,25936,34157,24194,33270,25227.35745,34302.06906,26805.70291,32071.4698,65,HTS:COMB
X66,34278,42558,33676,37995,33172.02528,36926.38177,35214.74729,35217.74895,66,HTS:COMB
X67,40776,55384,42589,57426,39891.94722,51302.98358,42753.06323,48921.87058,67,HTS:COMB
X68,46948,54955,48309,45489,45468.32801,47523.83646,45735.42213,45850.76719,68,HTS:COMB
X69,49547,60499,49506,53897,50431.91103,57197.87874,54677.4389,54636.70628,69,HTS:COMB
X70,34509,43577,35657,42239,35111.65003,40520.71491,38343.73789,38322.57632,70,HTS:COMB
X71,43948,59134,39953,55022,44729.67624,57995.05711,48803.9887,54967.03245,71,HTS:COMB
X73,25134,31742,23300,26984,25507.27463,29163.44765,26669.76289,28092.04453,73,HTS:COMB
X74,30712,37370,27617,35419,32778.59385,38963.32384,34472.49429,37362.04914,74,HTS:COMB
X75,35213,42547,35543,36109,34561.08968,38709.24311,35353.43575,36827.06831,75,HTS:COMB
X77,40160,54536,40889,46717,40829.15221,50622.22093,43465.00716,48504.55902,77,HTS:COMB
X78,19618,25167,16890,24138,18965.50572,24701.73925,20380.87231,23466.79087,78,HTS:COMB
X79,28910,39963,28891,37439,24889.32967,36620.48701,27930.99217,34096.21155,79,HTS:COMB
X80,41137,53417,43679,46890,40861.93981,49374.94795,44370.43587,47312.62973,80,HTS:COMB
X82,49381,59509,41365,53869,43755.51573,58453.2909,48026.52411,55022.21527,82,HTS:COMB
X83,18880,23593,17194,20197,20528.78903,24344.0047,21439.14681,23374.35656,83,HTS:COMB
X84,72148,83122,64039,74240,69749.5103,83513.1259,73380.86134,80007.35616,84,HTS:COMB
X85,48194,57642,46600,49439,47993.77101,53748.44427,49366.39144,52137.85097,85,HTS:COMB
X86,22576,29180,20463,25959,22859.54216,30506.54599,24822.58402,28938.21233,86,HTS:COMB
X87,32301,38298,29419,34134,29994.45422,37542.72029,31440.7507,36373.28687,87,HTS:COMB
X88,31571,42868,27664,38070,28302.61626,40344.29427,30942.38009,37869.25088,88,HTS:COMB
X90,45816,54372,39885,48894,45626.57469,52290.2055,48980.80112,50625.03515,90,HTS:COMB
X91,22319,32096,23358,32319,23054.48431,30366.35933,24737.23544,28656.25641,91,HTS:COMB
X92,32029,43894,26725,39115,31722.12913,41957.67264,35422.12152,39594.01146,92,HTS:COMB
X93,30772,39478,26853,33027,29262.70559,38328.0456,31814.50456,36494.28141,93,HTS:COMB
X94,39045,49993,33217,44151,34909.44892,47846.70607,39754.92515,44816.00395,94,HTS:COMB
X95,35859,46335,33339,43987,36489.68654,45112.28043,38909.94628,43132.97919,95,HTS:COMB
X96,24612,34933,25538,37059,26164.03156,34698.4656,28526.53981,32901.63453,96,HTS:COMB
X97,38566,45898,34033,42418,35921.24042,43598.79763,38051.01188,41876.48423,97,HTS:COMB
X98,29127,37591,27169,31448,27663.8495,36957.11716,30080.0678,34802.1725,98,HTS:COMB
X101,41324,55887,36170,46946,39082.30126,49701.16291,42648.08223,46910.4484,101,HTS:COMB
X102,36247,46471,29490,44898,33532.96844,45319.3862,35971.04218,43343.94535,102,HTS:COMB
X103,28072,30947,24675,24968,29138.26347,29142.9118,29137.74102,29142.36859,103,HTS:COMB
X104,60967,68735,57671,53272,55816.31054,64184.09567,58088.53153,62528.64254,104,HTS:COMB
X105,25924,33178,25986,33037,30225.60405,32761.19691,31778.39451,31926.33437,105,HTS:COMB
X106,51707,62078,46659,47735,45548.84486,51259.27828,49287.13566,49970.98765,106,HTS:COMB
X107,43336,49429,42796,40615,40697.07563,47033.03931,43881.02577,45449.35621,107,HTS:COMB
X109,37149,45197,32764,35447,34596.93336,42094.34874,36764.37254,39750.20706,109,HTS:COMB
X110,26352,30955,26264,32070,25264.29517,28125.98744,26078.4212,26974.15392,110,HTS:COMB
X111,34572,47222,34646,41719,33178.22016,43911.7554,35983.55903,41609.27722,111,HTS:COMB
X112,36735,39790,39521,34581,34534.4314,38988.52759,35860.46548,37536.07969,112,HTS:COMB
X114,28885,35680,25822,30981,29095.56928,31693.55426,31138.3623,31125.56669,114,HTS:COMB
X116,37844,47350,37372,37711,39128.20812,45265.09965,41580.75185,43716.78052,116,HTS:COMB
X117,20056,23628,17373,21094,20267.69989,24249.65751,21302.0459,23379.19488,117,HTS:COMB
X118,44141,62009,37842,51688,40421.20198,54394.88539,45414.44564,51185.69101,118,HTS:COMB
X119,33005,39049,28783,32958,31339.12352,37432.33338,35003.98184,35006.87949,119,HTS:COMB
X120,36482,47236,38098,44971,34828.2885,45338.76426,38493.87746,42951.43507,120,HTS:COMB
X121,21810,27714,20073,25242,23627.99997,26675.84057,25844.04091,25845.87592,121,HTS:COMB
X122,51505,59765,58768,66797,44929.53814,51228.89653,45957.76867,47849.82438,122,HTS:COMB
X123,43262,56483,38807,52986,43709.20463,49375.86342,47333.42996,48073.51136,123,HTS:COMB
X124,25183,26199,20951,25394,25936.82173,28994.8194,27775.97224,28262.03852,124,HTS:COMB
X125,64230,80068,61915,73496,59557.45509,75925.47913,63430.2222,72968.04136,125,HTS:COMB
X126,26821,34754,23412,36343,29153.77896,36329.18256,30302.83473,35362.031,126,HTS:COMB
X128,43237,58428,44254,50014,41988.26984,54299.94558,45453.84341,51337.74671,128,HTS:COMB
X130,26488,34131,29277,27850,26661.50529,33268.85115,28415.55478,31980.77449,130,HTS:COMB
X131,27139,33606,23531,24681,28343.29152,33780.50275,30269.50453,32536.12775,131,HTS:COMB
X133,30220,39518,27931,37680,30793.88106,37408.39902,33521.38575,35805.69054,133,HTS:COMB
X134,25958,30388,23044,24572,25477.82009,29055.06776,26593.28621,28192.61306,134,HTS:COMB
X135,33912,41465,32709,36284,31852.73017,39244.41533,34006.48661,37570.25165,135,HTS:COMB
X138,41858,51948,35453,51265,39798.24222,48459.37113,42225.57441,46120.57658,138,HTS:COMB
X140,39744,48861,39575,45864,38891.30707,46888.01031,41248.58919,44705.03704,140,HTS:COMB
X141,28298,37114,27638,37480,27736.53639,35108.16913,29667.9037,33549.80602,141,HTS:COMB
X142,24001,28740,22314,24034,24582.31867,28231.88147,25706.51496,27340.82541,142,HTS:COMB
X143,31964,45140,30548,40168,29945.34401,41744.78013,34209.24979,39021.58718,143,HTS:COMB
X146,42649,54964,37827,47654,42527.95365,53344.03408,46657.58702,50791.1355,146,HTS:COMB
X147,42515,55425,38232,46406,42657.09735,53005.77797,45653.55949,50629.30379,147,HTS:COMB
X148,48539,59394,44032,46954,46469.65333,56472.9825,49181.27086,53989.05777,148,HTS:COMB
X150,47286,58713,45591,57782,45793.37556,55355.55311,48515.27354,52941.50392,150,HTS:COMB
X151,40156,45606,34701,43115,36283.43808,46131.27096,39103.14815,43857.16989,151,HTS:COMB
X152,27711,37540,24715,33968,25763.15136,36364.43631,29158.3038,34056.44911,152,HTS:COMB
X153,29916,41055,25502,39533,34715.99757,43379.65896,37663.55561,41942.75104,153,HTS:COMB
X154,48436,60034,46219,53519,47930.04921,57509.91944,50591.36036,55332.64204,154,HTS:COMB
X156,33107,44874,30638,44735,34173.83465,45192.07802,37068.25873,42943.20795,156,HTS:COMB
X157,51551,66924,46931,54913,48461.91976,62517.38677,52230.85281,59076.92747,157,HTS:COMB
X158,47507,55186,43595,49901,44234.10799,50424.94714,47022.97173,48892.76718,158,HTS:COMB
X160,28503,37758,30309,32832,28787.23387,36762.30565,30771.32224,35060.45215,160,HTS:COMB
X161,40391,46126,35920,39689,40397.908,46628.68124,42037.74369,45089.39698,161,HTS:COMB
X162,39249,54565,38338,50637,37533.15674,51186.16346,41436.15852,47947.9551,162,HTS:COMB
X163,39866,40656,34218,33371,38620.35906,42619.89826,40368.07699,41636.01431,163,HTS:COMB
X166,29727,34614,28127,31527,31478.66126,36594.20376,32719.8457,34920.64318,166,HTS:COMB
X167,47582,63034,45302,61418,48070.72298,62736.90216,51304.5638,59513.57173,167,HTS:COMB
X168,39726,52610,39346,52381,37642.27136,48261.20629,39986.04054,45832.96818,168,HTS:COMB
X169,29860,39903,25420,35568,32519.40773,37294.51837,33585.17596,36464.78303,169,HTS:COMB
X170,21616,28152,20204,25539,24464.25204,28058.70698,25732.72252,27446.88928,170,HTS:COMB
X171,39570,52792,37440,45594,41421.72428,54867.97249,44591.2715,52070.42504,171,HTS:COMB
X173,42699,57762,40344,48471,41533.18876,51741.47891,45608.44899,49293.13852,173,HTS:COMB
X175,33350,43747,29381,33164,28581.33888,39886.33106,32780.61789,37246.22911,175,HTS:COMB
X176,26385,32682,22869,30490,26725.10355,33370.38831,28673.8018,31920.13378,176,HTS:COMB
X177,20084,25843,15516,22054,19796.00769,25849.124,21158.04219,24793.41379,177,HTS:COMB
X178,53069,67289,49783,62139,53022.54323,63851.76336,57253.46479,61274.02967,178,HTS:COMB
X179,37868,47610,32981,44783,37977.4194,48874.47563,41066.89223,46284.01984,179,HTS:COMB
X180,39068,52316,35156,42399,35862.12053,45829.27427,39663.32784,43477.75543,180,HTS:COMB
X182,27760,36012,28282,34032,29298.42334,35888.3348,31522.28803,34265.068,182,HTS:COMB
X184,33815,41783,31161,37341,32715.00745,41365.72533,36097.00776,39305.97191,184,HTS:COMB
X185,32682,47461,29783,39125,37405.78003,45621.80656,40362.10109,44363.45069,185,HTS:COMB
X187,33406,43733,31202,37535,32645.1801,40009.16372,34739.77305,37916.5765,187,HTS:COMB
X188,26229,39848,26445,41989,26156.92516,33217.24308,28899.43867,31540.07431,188,HTS:COMB
X189,45209,55900,45588,50399,46362.22953,52999.49857,49466.42723,51347.88324,189,HTS:COMB
X193,24835,38057,25462,35530,25040.81572,35271.8701,27878.15363,33070.58797,193,HTS:COMB
X194,27956,32599,26415,32620,26671.59787,30523.36856,27833.54402,29507.13821,194,HTS:COMB
X195,57015,66674,49347,60232,53779.33313,68361.50987,57805.46971,65000.64167,195,HTS:COMB
X196,28950,33234,25922,31023,26266.25548,33720.22946,28027.65111,31980.31353,196,HTS:COMB
X197,34431,47821,32275,41890,34436.9434,43944.82332,37054.70406,41969.06534,197,HTS:COMB
X198,13446,20220,11857,19524,12528.75459,19794.63507,14821.99825,18225.05989,198,HTS:COMB
X199,43018,56930,44360,51350,44491.36214,51753.65344,47781.66677,49954.8395,199,HTS:COMB
X200,43160,47197,35962,40999,40053.87521,48286.13045,42194.3782,46701.93284,200,HTS:COMB
X201,29340,35977,30055,31066,27047.47665,34576.88385,29541.95702,32991.40568,201,HTS:COMB
X202,35958,42665,35488,37764,35244.28821,40325.69181,36598.35508,39067.44625,202,HTS:COMB
X203,39557,47245,34808,40804,37633.47338,43860.40514,39420.03899,42441.10397,203,HTS:COMB
X205,33627,44763,32779,37963,30281.31256,43506.98135,34144.07242,40772.18067,205,HTS:COMB
X206,39729,50199,35770,44338,42334.1357,50306.23722,44814.94947,48220.44381,206,HTS:COMB
X207,58200,81625,52320,69136,54615.15191,73677.57349,59153.92779,69458.86063,207,HTS:COMB
X208,17267,21245,15626,18078,14376.4436,18700.69404,16031.75054,17678.80816,208,HTS:COMB
X209,39174,46735,41943,46130,36011.46878,41261.78251,39787.79821,38766.87402,209,HTS:COMB
X210,14965,21062,14607,19651,16294.84317,19703.33684,17744.15904,18870.36312,210,HTS:COMB
X211,78447,95076,69610,83706,64648.82985,84467.33439,69604.38033,79586.22733,211,HTS:COMB
X212,24395,32127,22601,26498,24509.59412,30519.389,26264.4275,28959.4403,212,HTS:COMB
X213,41594,57639,40949,51682,45545.05947,54826.56735,49340.30144,52835.4539,213,HTS:COMB
X214,47680,58831,46679,51957,47801.60386,58731.97639,50876.34635,56204.748,214,HTS:COMB
X216,34649,42809,32682,41212,36146.85163,44468.91205,39226.6465,42674.15119,216,HTS:COMB
X217,27860,34547,23883,27511,24984.315,31849.29755,26457.49302,30692.91888,217,HTS:COMB
X219,16751,19446,16731,18287,16394.96944,19559.43402,17195.41051,18825.88376,219,HTS:COMB
X220,25258,33550,22949,27720,25240.40898,30646.80095,26672.67247,29490.01137,220,HTS:COMB
X221,35450,42344,31141,37378,31918.82765,38594.84776,35038.65787,37314.5688,221,HTS:COMB
X222,25900,33247,23288,28735,22669.24242,33243.87971,26178.66067,30899.05569,222,HTS:COMB
X223,38108,45778,35410,42892,36644.9222,47122.14944,39715.34478,44578.73312,223,HTS:COMB
X224,38660,50452,37988,47773,37985.40314,47638.21991,40876.86538,45239.22625,224,HTS:COMB
X225,28125,36882,27294,37950,25983.02663,33630.58453,27696.71509,31899.5575,225,HTS:COMB
X226,36244,44159,34776,39916,35638.72421,43269.27193,37778.05618,41689.20516,226,HTS:COMB
X227,34089,38909,28048,34702,32988.03573,37764.67844,36535.91778,39159.16316,227,HTS:COMB
X228,45695,52708,40555,46781,45198.72804,51231.32341,48180.67743,49724.10145,228,HTS:COMB
X229,46283,60050,45116,56764,44461.57518,58050.56199,48465.08739,54858.56399,229,HTS:COMB
X230,44412,52538,37619,41685,40982.8124,50990.2485,43375.01966,50397.3546,230,HTS:COMB
X232,20338,26686,20025,24497,20192.80193,24194.06403,21086.7612,23721.98108,232,HTS:COMB
X233,54440,61104,55686,59941,49083.95622,58930.49192,51934.02223,56397.35289,233,HTS:COMB
X234,53784,69202,43108,60727,52379.42392,71666.42101,59588.46769,67151.84111,234,HTS:COMB
X235,24921,36290,27205,34738,27493.29621,38886.01697,31060.68456,36641.01674,235,HTS:COMB
X236,41103,49499,36650,43908,37485.06527,48599.06463,40329.38536,46482.32909,236,HTS:COMB
X237,28773,30829,23726,23600,26790.49638,28548.28505,27833.65085,28124.35985,237,HTS:COMB
X238,37126,44943,35044,44318,40260.35616,46402.99987,41480.23939,45424.50285,238,HTS:COMB
X239,26886,35157,24023,30730,27949.44698,34619.19102,30519.7461,33039.42437,239,HTS:COMB
X240,27702,32039,22320,25414,26252.59538,32086.2441,27698.25153,30798.13873,240,HTS:COMB
X241,33898,42276,33572,36398,36638.38893,42361.30406,38394.96252,41048.76084,241,HTS:COMB
X242,20009,29440,18721,26332,18248.80155,27906.52729,20567.44524,26079.17247,242,HTS:COMB
X244,22687,39111,22523,33854,26785.74443,35758.44635,29623.50014,33817.90753,244,HTS:COMB
X245,53382,63314,54972,51773,49765.82738,58949.06771,52282.05427,56554.38856,245,HTS:COMB
X246,39161,50917,36132,41538,36172.58184,44783.99211,38582.20183,43049.20347,246,HTS:COMB
X247,40743,56544,38806,54194,43300.73841,54034.18725,46742.17287,51850.34429,247,HTS:COMB
X248,44647,51231,43504,44929,47505.82957,51718.81225,48759.25097,48769.47132,248,HTS:COMB
X249,29031,37652,27060,30579,28584.35072,34664.89933,30260.63363,32668.12147,249,HTS:COMB
X250,42887,61455,43761,61264,45963.27446,56886.36241,49478.28259,54501.91769,250,HTS:COMB
X251,101548,117283,94252,102901,108707.0525,114275.2098,110799.4316,110823.8204,251,HTS:COMB
X252,51461,68246,49344,67213,51001.90442,67905.29461,57324.1294,63947.63612,252,HTS:COMB
X253,26835,37344,24775,38891,27856.66638,37445.63859,30396.80917,35347.14288,253,HTS:COMB
X254,16328,20582,16035,19531,17780.99946,19308.84388,18286.67615,18970.48498,254,HTS:COMB
X255,32524,40804,29764,39732,33506.6581,40632.38136,35720.88369,38954.25243,255,HTS:COMB
X256,41973,52604,36619,51787,45855.17901,54147.92435,48546.55007,52137.09047,256,HTS:COMB
X257,26689,34955,24241,29579,25921.64375,31557.45417,28522.02668,30157.01382,257,HTS:COMB
X259,86008,89542,83534,79446,96397.05149,96699.92861,96843.47819,97226.77079,259,HTS:COMB
X260,36983,40335,34766,31938,36688.29936,39348.79726,37448.7833,38805.57966,260,HTS:COMB
X261,58916,85357,52827,75829,60418.47097,80919.43701,66773.34831,76954.0397,261,HTS:COMB
X262,143534,160583,139949,146242,140590.551,150843.1838,139968.2612,148495.6372,262,HTS:COMB
X264,33643,47490,31895,40431,35698.15799,42811.45904,38042.92121,38784.63103,264,HTS:COMB
X265,27473,36170,25738,35392,21597.92396,34540.3574,24247.59226,31878.93429,265,HTS:COMB
X266,23010,26840,21596,24682,23507.94046,25019.40425,23909.07035,24590.14435,266,HTS:COMB
X267,54841,58356,53310,62985,50068.02059,54532.29144,54182.19045,53962.27307,267,HTS:COMB
X268,24423,31333,22296,28432,22584.2956,33062.73814,25143.10362,30902.07371,268,HTS:COMB
X269,38693,51261,33922,49332,50353.93627,56533.66606,52631.44596,55571.92327,269,HTS:COMB
X270,56160,63311,53637,53027,48380.61666,62973.07647,54563.8463,59517.71141,270,HTS:COMB
X271,35677,56543,33437,55321,41720.19024,50413.45821,45247.11064,48317.57484,271,HTS:COMB
X272,29590,43732,29439,42022,29554.1193,41231.02915,32494.26926,38851.60389,272,HTS:COMB
X273,39149,50252,35808,46078,37755.42943,50012.35237,42384.9538,47131.37318,273,HTS:COMB
X274,39043,42909,40325,37210,39911.56714,40142.66656,40304.73483,40500.6804,274,HTS:COMB
X276,19681,24577,17637,23232,21244.12711,24348.08696,23767.34724,23768.83938,276,HTS:COMB
X278,40676,50075,35213,41249,36562.03033,46092.78331,39251.86508,43284.49884,278,HTS:COMB
X280,34025,41420,34665,39647,33626.24437,37772.91796,36115.25018,36119.40532,280,HTS:COMB
X281,35082,41065,29228,35315,31893.50972,36422.54167,34079.08698,34083.36373,281,HTS:COMB
X282,24803,30214,22314,23874,21200.34653,29041.62291,23116.87993,27593.40805,282,HTS:COMB
X285,29759,36833,31307,30347,29285.3611,34583.92517,30781.86134,33465.99201,285,HTS:COMB
X286,18199,26051,16453,24366,22423.06278,27126.70785,25599.37279,27391.38192,286,HTS:COMB
X289,32182,39524,31963,34480,33947.24582,38050.95461,35420.31986,37533.51868,289,HTS:COMB
X290,38528,47038,30506,40103,34529.05,46794.67361,38722.55182,44034.73349,290,HTS:COMB
X291,41529,53105,36768,49352,40954.85959,49521.41846,46478.05639,46489.49738,291,HTS:COMB
X292,15026,0,0,0,14113.53533,56641.18342,23470.50539,47212.15135,292,HTS:COMB
X293,32067,42323,28361,35935,31063.25535,40672.64955,33381.81503,38688.69731,293,HTS:COMB
X294,32618,41492,34683,39244,30546.36414,39443.10469,32468.91231,37284.81262,294,HTS:COMB
X295,31759,42242,32032,38669,29071.57825,37159.53128,30785.05186,35089.0553,295,HTS:COMB
X296,37253,45735,37508,44292,35406.85561,44187.98655,37791.10381,42199.08097,296,HTS:COMB
X297,35583,48594,36554,47852,33927.24817,45692.70112,36582.61473,43066.08494,297,HTS:COMB
X299,53554,61464,65976,59217,52255.21882,55229.75859,50207.00629,51651.4083,299,HTS:COMB
X300,39103,52669,42260,44420,41730.93514,48750.25132,44053.44378,47428.30417,300,HTS:COMB
X301,28944,37223,28934,30162,30486.62322,34851.38913,31921.42018,33612.9045,301,HTS:COMB
X302,19624,26495,19913,23907,21500.72508,22562.5124,22415.34388,22437.61591,302,HTS:COMB
X303,32460,41162,29634,38220,31821.61518,35173.28649,35164.08811,35171.78674,303,HTS:COMB
X304,35673,42044,34172,41056,35524.89919,45579.38974,37912.97639,43758.06348,304,HTS:COMB
X305,32007,43349,32166,35564,32997.16268,40714.38336,35199.51901,39046.19975,305,HTS:COMB
X307,13972,17990,12432,17849,12681.13751,18052.83761,13961.73003,17005.5147,307,HTS:COMB
X308,47107,59093,41533,50578,46146.80036,54823.81216,48221.80902,53243.48681,308,HTS:COMB
X309,34242,45832,30796,42704,33979.34649,44786.67642,37310.20223,42481.9779,309,HTS:COMB
X310,55508,68861,50655,62374,50971.35092,62534.06131,54020.93904,59381.79821,310,HTS:COMB
X311,36148,46164,36273,41554,35128.37062,43781.08891,37509.11654,42055.11678,311,HTS:COMB
X312,28458,38563,28762,33593,26918.86253,36298.59219,29482.22366,34351.89281,312,HTS:COMB
X313,37025,48100,33904,46419,33876.09018,46611.22505,37040.61754,44037.23635,313,HTS:COMB
X314,25560,32500,24087,31880,27378.09961,31112.72509,28989.6412,30196.66768,314,HTS:COMB
X315,24638,29994,23018,26533,23055.6827,27108.57119,24000.46658,25518.35625,315,HTS:COMB
X316,52009,67787,45563,57985,48883.27298,66031.25682,55181.61248,62046.11255,316,HTS:COMB
X318,41848,49281,37353,43969,40472.72679,45366.86198,43594.83248,43605.25393,318,HTS:COMB
X319,39981,50178,38243,43349,42717.62209,46947.00115,45391.82032,45396.85184,319,HTS:COMB
X320,85940,101360,79960,91531,82048.95451,91458.31269,86254.29135,86275.01305,320,HTS:COMB
X321,33027,40713,29783,37311,32292.90426,36331.82332,34478.4639,34460.28604,321,HTS:COMB
X322,27568,35388,23406,34002,23751.45265,33329.86171,26124.47894,31315.47314,322,HTS:COMB
X323,41074,49606,41763,44899,40441.93143,48173.5082,42513.25083,46169.58654,323,HTS:COMB
X324,24034,35068,24296,36075,28283.46866,36654.68265,30267.2765,35140.58818,324,HTS:COMB
X325,30391,38863,30694,38371,35123.69152,39122.72663,36561.44223,38240.79995,325,HTS:COMB
X326,28786,36875,28094,34116,28154.28782,35480.72861,30143.16263,33761.54762,326,HTS:COMB
X327,40697,52559,38008,49725,42579.09063,50157.75293,44879.20316,48522.32553,327,HTS:COMB
X328,22636,28958,21909,26533,23383.25153,28049.74692,24671.24642,27117.15371,328,HTS:COMB
X329,34032,44918,31046,40781,37109.87149,42297.67257,40061.8597,40065.76152,329,HTS:COMB
X330,19390,27246,18709,22528,22999.9604,25016.1239,24165.53188,24167.3208,330,HTS:COMB
X331,30368,37076,29448,33874,28981.9743,35605.48699,30575.60465,34394.95401,331,HTS:COMB
X332,20017,22109,17914,21804,19283.84105,23657.7801,20407.45395,22571.05841,332,HTS:COMB
X333,55991,67790,51838,57994,50226.93184,64647.13032,53656.70282,62032.45213,333,HTS:COMB
X334,27467,32335,25589,28719,29733.30533,32272.95698,31468.46416,31471.74809,334,HTS:COMB
X335,75087,106781,73769,95719,86749.21059,106330.2504,94635.57139,101600.1407,335,HTS:COMB
X336,69896,91442,69648,85158,70639.20858,87895.3326,75169.96698,84552.80376,336,HTS:COMB
X337,30124,34031,30954,32576,29087.37687,32825.67421,30095.63446,31792.33839,337,HTS:COMB
X338,35211,46347,34602,41344,34356.77355,43670.11028,37467.41635,41598.22899,338,HTS:COMB
