,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type
X11,39992,51044,38288,41930,41455.12195,48429.64065,44726.79936,46797.41811,11,tdfp_arima,44019.0593,48479.32658,47566.89976,47173.99826,11,tdfp_arima,44006.88912,48478.59005,47555.02697,47171.44602,11,tdfp_arima
X12,37816,55205,36316,45240,36061.27159,49480.74044,38932.99179,46340.94162,12,tdfp_arima,38291.60736,49531.50473,41405.19206,46713.84849,12,tdfp_arima,38283.46162,49531.01176,41397.24537,46712.14023,12,tdfp_arima
X14,28515,34606,25514,30199,25836.04851,35471.11757,27773.81738,33375.68729,14,tdfp_arima,27433.96951,35507.50882,29537.4229,33644.2624,14,tdfp_arima,27431.49168,35507.35887,29535.00561,33643.74276,14,tdfp_arima
X15,34122,48072,33333,42234,34104.40953,43581.27269,36112.17927,41475.21534,15,tdfp_arima,35477.96653,43257.81321,37916.67988,41330.92163,15,tdfp_arima,35473.1047,43259.02084,37911.13587,41331.41998,15,tdfp_arima
X16,43324,52864,43436,49883,39809.08343,50171.61394,41827.38387,47542.27037,16,tdfp_arima,42271.21575,50223.08703,44483.37472,47924.84437,16,tdfp_arima,42264.96349,50222.70865,44477.27524,47923.53319,16,tdfp_arima
X17,30469,42524,29050,40773,29952.40601,40274.2907,32278.36623,38266.73385,17,tdfp_arima,31804.91757,40315.60972,34328.00542,38574.66734,17,tdfp_arima,31797.4604,40315.15842,34320.73047,38573.10348,17,tdfp_arima
X18,38057,44676,34758,43024,35010.41953,45125.69828,36903.46469,42935.15665,18,tdfp_arima,36420.46614,44790.7761,38747.50529,42785.78376,18,tdfp_arima,36416.09327,44791.86228,38742.51884,42786.23198,18,tdfp_arima
X19,32244,44226,31180,40358,33604.562,42336.84279,36732.87626,40381.16861,19,tdfp_arima,35682.95395,42380.27786,39065.37173,40706.11702,19,tdfp_arima,35677.68882,42379.95922,39060.23525,40705.01286,19,tdfp_arima
X21,26070,41746,26238,41442,24699.03578,35988.63629,29037.41926,33152.61641,21,tdfp_arima,25439.63669,37655.201,29222.00627,35043.98645,21,tdfp_arima,25435.52788,37641.50061,29225.9951,35028.25348,21,tdfp_arima
X23,27656,37624,27167,33804,25411.15081,35401.92457,28607.4742,33142.93655,23,tdfp_arima,26434.58633,35139.17208,30036.96989,33027.63112,23,tdfp_arima,26430.45911,35140.19724,30032.26357,33028.05417,23,tdfp_arima
X24,50093,65151,46437,60216,47880.38271,63330.02239,51040.52533,59911.68437,24,tdfp_arima,50841.71283,63394.99522,54281.54008,60393.79539,24,tdfp_arima,50830.71486,63394.32963,54270.81086,60391.48898,24,tdfp_arima
X25,57999,65600,51031,58650,60717.59844,62959.59103,61971.79223,58999.77774,25,tdfp_arima,62538.21643,65875.12892,62365.73868,62365.73868,25,tdfp_arima,62515.2326,65798.4918,62388.05137,62277.73169,25,tdfp_arima
X26,35892,47254,33761,42262,33959.69833,44093.12427,35844.00239,42147.21592,26,tdfp_arima,35327.42709,43765.86584,37635.10239,42000.58429,26,tdfp_arima,35320.96049,43767.47208,37627.72843,42001.24713,26,tdfp_arima
X27,49688,63333,40204,57079,41871.67153,63121.15206,46273.7268,58439.18661,27,tdfp_arima,44461.37185,63185.9106,49212.05532,58909.44841,27,tdfp_arima,44446.90137,63185.03486,49197.93844,58906.41376,27,tdfp_arima
X28,22696,32563,20859,32451,22706.77791,29611.68915,23679.07094,28468.1906,28,tdfp_arima,24111.15819,29642.06898,25182.66476,28697.27494,28,tdfp_arima,24104.22689,29641.6495,25175.90283,28695.82136,28,tdfp_arima
X29,40266,50855,37457,45123,42255.37661,53758.52834,44888.17088,51435.95212,29,tdfp_arima,43957.21427,53359.53345,47131.20172,51257.00466,29,tdfp_arima,43951.25503,53361.01367,47124.40632,51257.61549,29,tdfp_arima
X30,21603,26303,18725,24368,20637.05012,25359.43053,22067.27718,24123.63335,30,tdfp_arima,21913.42083,25385.4478,23468.52394,24317.75691,30,tdfp_arima,21909.37916,25385.2032,23464.58104,24316.90932,30,tdfp_arima
X31,31240,38223,29525,33732,30032.68301,36276.27181,32514.72313,34258.64837,31,tdfp_arima,31242.251,36007.02994,34139.46135,34139.46135,31,tdfp_arima,31238.28538,36008.01496,34134.93929,34139.86783,31,tdfp_arima
X33,42947,51575,40769,44097,41510.01027,52644.11762,43610.44533,50242.52415,33,tdfp_arima,44077.34238,52698.12735,46379.65853,50646.82717,33,tdfp_arima,44072.11518,52697.811,46374.55907,50645.73096,33,tdfp_arima
X34,46938,56661,40804,47688,39007.05956,49726.62651,42918.95892,46544.30077,34,tdfp_arima,40176.68675,52029.37119,43191.78903,49199.67176,34,tdfp_arima,40173.07294,52017.32133,43195.29732,49185.83418,34,tdfp_arima
X35,58449,75304,47704,58751,50433.65386,76601.90943,57577.19678,70999.27238,35,tdfp_arima,52464.87209,76033.37135,60454.28946,70752.26346,35,tdfp_arima,52452.70757,76036.3929,60440.41808,70753.51034,35,tdfp_arima
X37,35599,46140,33045,41853,35341.12588,41095.40741,38654.90455,39770.19364,37,tdfp_arima,36400.83,42998.45689,38900.62864,42039.09911,37,tdfp_arima,36395.71532,42981.40253,38905.59397,42019.51456,37,tdfp_arima
X38,30014,43200,27715,36029,26570.84513,39916.23076,29894.41259,37174.27151,38,tdfp_arima,27640.98741,39619.97317,31388.2157,37044.94093,38,tdfp_arima,27636.79984,39621.01332,31383.44055,37045.37017,38,tdfp_arima
X39,23247,30991,21427,32916,24431.93454,34218.79659,26531.41046,32459.66128,39,tdfp_arima,25943.01318,34253.90304,28216.12456,32720.8651,39,tdfp_arima,25937.57773,34253.57409,28210.82192,32719.72521,39,tdfp_arima
X40,23031,28918,25224,26328,23252.66355,26612.19962,24084.00724,26251.30601,40,tdfp_arima,24690.80605,26639.50215,25613.31405,26462.55102,40,tdfp_arima,24687.71853,26639.31529,25610.30198,26461.90353,40,tdfp_arima
X42,52677,65226,48837,57047,51608.83449,66854.21263,54926.57853,63453.94406,42,tdfp_arima,54800.76378,66922.80107,58414.3532,63964.55975,42,tdfp_arima,54788.48799,66922.05815,58402.37738,63961.98536,42,tdfp_arima
X43,31905,41134,30327,37034,32925.51463,43232.04199,35642.78773,41064.73065,43,tdfp_arima,34251.59157,42911.1745,37423.83317,40921.86503,43,tdfp_arima,34246.56957,42912.42192,37418.10651,40922.3798,43,tdfp_arima
X44,25323,34895,24389,31814,25070.40797,35728.54088,27481.49466,33635.89198,44,tdfp_arima,26620.97524,35765.19624,29226.53802,33906.56096,44,tdfp_arima,26617.64253,35764.99454,29223.28674,33905.86204,44,tdfp_arima
X45,27705,36896,27931,30659,25738.6012,34422.87815,27358.88366,32617.44114,45,tdfp_arima,26775.22481,34167.39213,28725.98814,32503.96393,45,tdfp_arima,26772.19654,34168.14432,28722.53497,32504.27434,45,tdfp_arima
X47,39002,50227,34536,41714,37654.55686,47657.65044,39561.65021,45436.35523,47,tdfp_arima,39983.43494,47706.54435,42073.76957,45801.98287,47,tdfp_arima,39977.49806,47706.18506,42067.97776,45800.73784,47,tdfp_arima
X48,18510,23535,16543,18820,18057.72118,22686.83387,19063.17121,21773.93514,48,tdfp_arima,19174.56425,22710.10921,20273.6607,21949.15061,48,tdfp_arima,19173.12258,22710.02196,20272.25426,21948.84828,48,tdfp_arima
X49,40798,51329,40189,49252,38978.46799,48286.12465,40381.64367,46114.34272,49,tdfp_arima,40548.32797,47927.74585,42399.48647,45953.90933,49,tdfp_arima,40542.09602,47929.2938,42392.38008,45954.54811,49,tdfp_arima
X50,22600,32021,22050,27798,19344.63199,28166.90002,21109.5677,26362.65465,50,tdfp_arima,20123.73813,27957.84577,22164.39819,26270.93806,50,tdfp_arima,20121.50357,27958.40081,22161.85008,26271.16711,50,tdfp_arima
X53,29262,36331,26459,33803,26319.40754,33178.34404,28802.3798,30386.7746,53,tdfp_arima,27947.22357,33212.38305,30631.29784,30631.29784,53,tdfp_arima,27942.91799,33212.12248,30627.09748,30630.39491,53,tdfp_arima
X54,40180,52331,38909,50043,41311.31301,47590.83441,43885.09187,46238.86616,54,tdfp_arima,42975.12845,47237.61604,46077.99954,46077.99954,54,tdfp_arima,42967.78986,47239.43888,46069.63124,46078.75176,54,tdfp_arima
X55,28773,33154,22805,29899,25927.38124,32458.21738,27534.07647,31108.11523,55,tdfp_arima,27530.95102,32491.51758,29282.45871,31358.44312,55,tdfp_arima,27527.34618,32491.29942,29278.94196,31357.68714,55,tdfp_arima
X56,46275,55610,45413,46135,42935.31645,51236.35001,45272.88223,49488.55191,56,tdfp_arima,44664.53872,50856.07468,47535.13683,49316.37953,56,tdfp_arima,44659.81851,50857.24714,47529.7543,49316.86336,56,tdfp_arima
X57,45906,60932,42938,56987,47493.24632,54376.92326,49577.27876,53045.21846,57,tdfp_arima,49406.03948,53973.33865,52054.62107,52860.67231,57,tdfp_arima,49376.77019,53980.60886,52021.24487,52863.67247,57,tdfp_arima
X59,28472,35097,26599,32150,25724.14037,34841.27401,28384.09702,32831.77069,59,tdfp_arima,27315.14001,34877.01908,30186.45459,33095.96888,59,tdfp_arima,27312.22693,34876.84278,30183.61269,33095.35797,59,tdfp_arima
X60,48453,59689,41160,57371,43987.61074,56392.54224,46429.09827,53837.7333,60,tdfp_arima,45759.21422,55973.99774,48749.12819,53650.42997,60,tdfp_arima,45748.76017,55976.59442,48737.20727,53651.50153,60,tdfp_arima
X61,26301,35862,29862,32508,25886.78166,34452.81824,27277.37864,32502.75407,61,tdfp_arima,27487.84042,34488.16478,29009.46086,32764.30465,61,tdfp_arima,27485.47836,34488.02183,29007.15652,32763.8093,61,tdfp_arima
X62,34649,42543,31282,37708,31987.49707,40550.50802,33709.45553,38583.93838,62,tdfp_arima,33965.87597,40592.11043,35849.96725,38894.42443,62,tdfp_arima,33962.32251,40591.89538,35846.50062,38893.67923,62,tdfp_arima
X63,38624,51519,34536,48096,35308.86901,45883.42907,39820.81956,42651.30702,63,tdfp_arima,36367.60591,48008.20265,40073.95522,45084.58116,63,tdfp_arima,36361.09587,47986.49565,40080.27515,45059.65371,63,tdfp_arima
X64,58917,76020,53422,65730,56001.61485,73155.03336,61367.79882,69680.84256,64,tdfp_arima,58257.08302,72612.07793,64434.30527,69438.4205,64,tdfp_arima,58246.19935,72614.78133,64421.89446,69439.5361,64,tdfp_arima
X65,25936,34157,24194,33270,23761.88378,34267.16495,25209.02065,31816.31611,65,tdfp_arima,25231.52079,34302.32102,26809.76452,32072.34291,65,tdfp_arima,25227.35745,34302.06906,26805.70291,32071.4698,65,tdfp_arima
X66,34278,42558,33676,37995,31890.06629,37201.89368,33541.45794,35340.45204,66,tdfp_arima,33174.44049,36925.78185,35217.50138,35217.50138,66,tdfp_arima,33172.02528,36926.38177,35214.74729,35217.74895,66,tdfp_arima
X67,40776,55384,42589,57426,37575.09136,51250.83341,40206.90466,48532.81614,67,tdfp_arima,39899.05461,51303.41371,42759.99694,48923.36109,67,tdfp_arima,39891.94722,51302.98358,42753.06323,48921.87058,67,tdfp_arima
X68,46948,54955,48309,45489,42827.41401,47475.60727,43011.91923,45486.39311,68,tdfp_arima,45476.22557,47524.31441,45743.12671,45852.42341,68,tdfp_arima,45468.32801,47523.83646,45735.42213,45850.76719,68,tdfp_arima
X69,49547,60499,49506,53897,48971.97198,54693.42726,54323.8709,51718.63188,69,tdfp_arima,50440.3972,57226.17496,54669.20053,54669.20053,69,tdfp_arima,50431.91103,57197.87874,54677.4389,54636.70628,69,tdfp_arima
X70,34509,43577,35657,42239,34093.75705,38741.37664,38097.27853,36270.2269,70,tdfp_arima,35116.0588,40535.41547,38339.45786,38339.45786,70,tdfp_arima,35111.65003,40520.71491,38343.73789,38322.57632,70,tdfp_arima
X71,43948,59134,39953,55022,42134.93031,57936.29794,45900.33228,54530.57977,71,tdfp_arima,44740.91279,57995.73713,48814.95067,54969.3889,71,tdfp_arima,44729.67624,57995.05711,48803.9887,54967.03245,71,tdfp_arima
X73,25134,31742,23300,26984,24024.24475,29133.72968,25079.97763,27868.38115,73,tdfp_arima,25510.10839,29163.61915,26672.52741,28092.63881,73,tdfp_arima,25507.27463,29163.44765,26669.76289,28092.04453,73,tdfp_arima
X74,30712,37370,27617,35419,30874.45356,38923.71714,32419.18018,37064.91882,74,tdfp_arima,32783.99238,38963.65055,34477.7609,37363.18128,74,tdfp_arima,32778.59385,38963.32384,34472.49429,37362.04914,74,tdfp_arima
X75,35213,42547,35543,36109,33226.13712,38997.88194,33674.4331,36955.30581,75,tdfp_arima,34564.32165,38708.44031,35357.12122,36826.73702,75,tdfp_arima,34561.08968,38709.24311,35353.43575,36827.06831,75,tdfp_arima
X77,40160,54536,40889,46717,39254.81507,50999.08279,41403.68012,48673.21289,77,tdfp_arima,40835.80494,50620.56845,43472.59337,48503.8771,77,tdfp_arima,40829.15221,50622.22093,43465.00716,48504.55902,77,tdfp_arima
X78,19618,25167,16890,24138,17862.60781,24676.53623,19165.70393,23279.85102,78,tdfp_arima,18967.38341,24701.85289,20382.70412,23467.18464,78,tdfp_arima,18965.50572,24701.73925,20380.87231,23466.79087,78,tdfp_arima
X79,28910,39963,28891,37439,23442.93237,36583.16746,26266.52517,33824.75947,79,tdfp_arima,24892.8427,36620.69961,27934.41936,34096.94827,79,tdfp_arima,24889.32967,36620.48701,27930.99217,34096.21155,79,tdfp_arima
X80,41137,53417,43679,46890,39284.75008,49742.89549,42264.22973,47477.29177,80,tdfp_arima,40866.94559,49373.70456,44376.14405,47312.11663,80,tdfp_arima,40861.93981,49374.94795,44370.43587,47312.62973,80,tdfp_arima
X82,49381,59509,41365,53869,41218.35549,58394.11632,45170.11089,54585.50867,82,tdfp_arima,43767.64919,58454.0252,48038.36107,55024.75981,82,tdfp_arima,43755.51573,58453.2909,48026.52411,55022.21527,82,tdfp_arima
X83,18880,23593,17194,20197,19334.2785,24319.13253,20160.24847,23188.03144,83,tdfp_arima,20530.07473,24344.08251,21440.4011,23374.62619,83,tdfp_arima,20528.78903,24344.0047,21439.14681,23374.35656,83,tdfp_arima
X84,72148,83122,64039,74240,65702.42457,83428.53243,69014.61981,79372.10912,84,tdfp_arima,69766.02135,83514.12513,73396.96893,80010.81873,84,tdfp_arima,69749.5103,83513.1259,73380.86134,80007.35616,84,tdfp_arima
X85,48194,57642,46600,49439,45755.33576,53891.87006,47428.19231,51750.01251,85,tdfp_arima,48092.22123,53736.82728,49411.24807,52157.45068,85,tdfp_arima,47993.77101,53748.44427,49366.39144,52137.85097,85,tdfp_arima
X86,22576,29180,20463,25959,21530.77598,30475.4543,23343.13171,28707.80382,86,tdfp_arima,22862.4223,30506.7203,24825.39377,28938.81633,86,tdfp_arima,22859.54216,30506.54599,24822.58402,28938.21233,86,tdfp_arima
X87,32301,38298,29419,34134,28249.82151,37504.39894,29565.86574,36083.46255,87,tdfp_arima,29997.03076,37542.87621,31443.26427,36373.8272,87,tdfp_arima,29994.45422,37542.72029,31440.7507,36373.28687,87,tdfp_arima
X88,31571,42868,27664,38070,26658.99537,40303.26011,29099.65644,37568.02999,88,tdfp_arima,28307.8144,40344.60885,30947.45121,37870.341,88,tdfp_arima,28302.61626,40344.29427,30942.38009,37869.25088,88,tdfp_arima
X90,45816,54372,39885,48894,42976.01791,52237.06399,46063.11028,50222.45508,90,tdfp_arima,45634.0204,52290.6561,48988.06489,50626.59661,90,tdfp_arima,45626.57469,52290.2055,48980.80112,50625.03515,90,tdfp_arima
X91,22319,32096,23358,32319,22387.18693,29035.08037,24577.13545,27124.06763,91,tdfp_arima,23058.46703,30379.63925,24733.36903,28671.50654,91,tdfp_arima,23054.48431,30366.35933,24737.23544,28656.25641,91,tdfp_arima
X92,32029,43894,26725,39115,30803.13139,40115.45624,35193.89936,37473.8589,92,tdfp_arima,31726.76369,41973.12607,35417.6223,39611.75755,92,tdfp_arima,31722.12913,41957.67264,35422.12152,39594.01146,92,tdfp_arima
X93,30772,39478,26853,33027,27562.23954,38289.01858,29918.80878,36203.83256,93,tdfp_arima,29266.92287,38328.30083,31818.61878,36495.16583,93,tdfp_arima,29262.70559,38328.0456,31814.50456,36494.28141,93,tdfp_arima
X94,39045,49993,33217,44151,33563.53996,48203.01133,37869.30932,44971.86149,94,tdfp_arima,34915.31341,47845.24939,39761.61251,44815.40282,94,tdfp_arima,34909.44892,47846.70607,39754.92515,44816.00395,94,tdfp_arima
X95,35859,46335,33339,43987,34373.24703,45066.61936,36595.4403,42790.63286,95,tdfp_arima,36499.181,45112.85503,38919.20874,43134.97029,95,tdfp_arima,36489.68654,45112.28043,38909.94628,43132.97919,95,tdfp_arima
X96,24612,34933,25538,37059,24644.90946,34663.2136,26827.99625,32640.05464,96,tdfp_arima,26169.16028,34698.77599,28531.5432,32902.71008,96,tdfp_arima,26164.03156,34698.4656,28526.53981,32901.63453,96,tdfp_arima
X97,38566,45898,34033,42418,34536.05279,43923.36693,36246.36717,42022.09075,97,tdfp_arima,35926.99425,43597.36844,38057.57306,41875.89445,97,tdfp_arima,35921.24042,43598.79763,38051.01188,41876.48423,97,tdfp_arima
X98,29127,37591,27169,31448,26595.53142,37232.75799,28651.58198,34923.38327,98,tdfp_arima,27666.66794,36956.41709,30083.28171,34801.88361,98,tdfp_arima,27663.8495,36957.11716,30080.0678,34802.1725,98,tdfp_arima
X101,41324,55887,36170,46946,37575.34998,50071.20131,40625.35703,47073.56314,101,tdfp_arima,39088.69931,49699.57369,42655.37802,46909.79259,101,tdfp_arima,39082.30126,49701.16291,42648.08223,46910.4484,101,tdfp_arima
X102,36247,46471,29490,44898,31591.05939,45273.66137,33834.26401,43000.42593,102,tdfp_arima,33544.91921,45320.10944,35982.70093,43346.45158,102,tdfp_arima,33532.96844,45319.3862,35971.04218,43343.94535,102,tdfp_arima
X103,28072,30947,24675,24968,28013.73229,29359.89558,27755.08456,29243.72687,103,tdfp_arima,29141.98693,29141.98693,29141.98693,29141.98693,103,tdfp_arima,29138.26347,29142.9118,29137.74102,29142.36859,103,tdfp_arima
X104,60967,68735,57671,53272,52568.51642,64118.5251,54623.41236,62030.21555,104,tdfp_arima,55819.80061,64184.30689,58091.93633,62529.37445,104,tdfp_arima,55816.31054,64184.09567,58088.53153,62528.64254,104,tdfp_arima
X105,25924,33178,25986,33037,28471.54287,32728.03513,29887.28009,31672.90052,105,tdfp_arima,30232.46525,32761.61215,31785.08806,31927.77325,105,tdfp_arima,30225.60405,32761.19691,31778.39451,31926.33437,105,tdfp_arima
X106,51707,62078,46659,47735,42906.33504,51207.4193,46354.58253,49574.40619,106,tdfp_arima,45560.02775,51259.95506,49298.04529,49973.33284,106,tdfp_arima,45548.84486,51259.27828,49287.13566,49970.98765,106,tdfp_arima
X107,43336,49429,42796,40615,38329.49358,46985.01945,41263.78817,45087.17592,107,tdfp_arima,40700.11548,47033.22328,43883.99134,45449.99371,107,tdfp_arima,40697.07563,47033.03931,43881.02577,45449.35621,107,tdfp_arima
X109,37149,45197,32764,35447,32586.04657,42051.47946,34573.40244,39433.82805,109,tdfp_arima,34601.44486,42094.62177,36768.7738,39751.15318,109,tdfp_arima,34596.93336,42094.34874,36764.37254,39750.20706,109,tdfp_arima
X110,26352,30955,26264,32070,23795.08943,28097.31166,24523.62353,26759.34187,110,tdfp_arima,25266.78016,28126.13783,26080.84547,26974.67505,110,tdfp_arima,25264.29517,28125.98744,26078.4212,26974.15392,110,tdfp_arima
X111,34572,47222,34646,41719,31898.15356,44238.94523,34276.08997,41754.06613,111,tdfp_arima,33182.85348,43910.60453,35988.84247,41608.80229,111,tdfp_arima,33178.22016,43911.7554,35983.55903,41609.27722,111,tdfp_arima
X112,36735,39790,39521,34581,32524.4179,38948.66379,33720.77001,37236.7643,112,tdfp_arima,34536.00455,38988.6228,35862.00019,37536.4096,112,tdfp_arima,34534.4314,38988.52759,35860.46548,37536.07969,112,tdfp_arima
X114,28885,35680,25822,30981,28251.12475,30299.33888,30939.09859,29455.33563,114,tdfp_arima,29098.2351,31702.44314,31135.77432,31135.77432,114,tdfp_arima,29095.56928,31693.55426,31138.3623,31125.56669,114,tdfp_arima
X116,37844,47350,37372,37711,36852.36116,45218.9145,39101.20336,43368.50938,116,tdfp_arima,39131.62463,45265.30641,41584.08488,43717.497,116,tdfp_arima,39128.20812,45265.09965,41580.75185,43716.78052,116,tdfp_arima
X117,20056,23628,17373,21094,19088.34078,24224.87844,20031.27896,23192.81877,117,tdfp_arima,20268.92613,24249.73172,21303.24218,23379.45204,117,tdfp_arima,20267.69989,24249.65751,21302.0459,23379.19488,117,tdfp_arima
X118,44141,62009,37842,51688,38863.42608,54799.75757,43261.20916,51363.62312,118,tdfp_arima,40428.65274,54393.03469,45422.94185,51184.9273,118,tdfp_arima,40421.20198,54394.88539,45414.44564,51185.69101,118,tdfp_arima
X119,33005,39049,28783,32958,29517.30582,37394.19814,32917.45251,34728.21403,119,tdfp_arima,31342.90708,37432.56236,35007.67295,35007.67295,119,tdfp_arima,31339.12352,37432.33338,35003.98184,35006.87949,119,tdfp_arima
X120,36482,47236,38098,44971,33483.46534,45676.85176,36665.95314,43101.0031,120,tdfp_arima,34832.01378,45337.83894,38498.12545,42951.05322,120,tdfp_arima,34828.2885,45338.76426,38493.87746,42951.43507,120,tdfp_arima
X121,21810,27714,20073,25242,22254.01823,26648.64566,24303.1559,25640.05217,121,tdfp_arima,23630.39601,26675.98558,25846.3784,25846.3784,121,tdfp_arima,23627.99997,26675.84057,25844.04091,25845.87592,121,tdfp_arima
X122,51505,59765,58768,66797,42318.76278,51176.79022,43219.77854,47469.21749,122,tdfp_arima,44936.11503,51229.29455,45964.18485,47851.20363,122,tdfp_arima,44929.53814,51228.89653,45957.76867,47849.82438,122,tdfp_arima
X123,43262,56483,38807,52986,41179.44553,49326.29415,44522.9813,47693.31388,123,tdfp_arima,43726.3327,49376.89999,47350.13949,48077.10333,123,tdfp_arima,43709.20463,49375.86342,47333.42996,48073.51136,123,tdfp_arima
X124,25183,26199,20951,25394,24427.43162,28965.18818,26118.83197,28036.72193,124,tdfp_arima,25938.23176,28994.90474,27777.34781,28262.33423,124,tdfp_arima,25936.82173,28994.8194,27775.97224,28262.03852,124,tdfp_arima
X125,64230,80068,61915,73496,56099.59826,75848.37852,59653.80477,72388.01167,125,tdfp_arima,59569.27458,75926.19443,63441.75287,72970.52006,125,tdfp_arima,59557.45509,75925.47913,63430.2222,72968.04136,125,tdfp_arima
X126,26821,34754,23412,36343,28034.73844,36598.31581,28871.61198,35484.45145,126,tdfp_arima,29163.8391,36326.68372,30314.30645,35360.99982,126,tdfp_arima,29153.77896,36329.18256,30302.83473,35362.031,126,tdfp_arima
X128,43237,58428,44254,50014,40369.98135,54704.06681,43298.91006,51516.1928,128,tdfp_arima,41995.88461,54298.05414,45462.52664,51336.96618,128,tdfp_arima,41988.26984,54299.94558,45453.84341,51337.74671,128,tdfp_arima
X130,26488,34131,29277,27850,25886.52108,31800.31891,28234.88165,30259.16195,130,tdfp_arima,26662.72875,33272.93068,28414.36704,31985.45926,130,tdfp_arima,26661.50529,33268.85115,28415.55478,31980.77449,130,tdfp_arima
X131,27139,33606,23531,24681,27520.7162,32293.81973,30075.76012,30789.65055,131,tdfp_arima,28345.92523,33789.28457,30266.94773,32546.21243,131,tdfp_arima,28343.29152,33780.50275,30269.50453,32536.12775,131,tdfp_arima
X133,30220,39518,27931,37680,29006.94169,37370.48861,31526.41765,35521.33759,133,tdfp_arima,30800.97769,37408.8285,33528.30897,35807.1788,133,tdfp_arima,30793.88106,37408.39902,33521.38575,35805.69054,133,tdfp_arima
X134,25958,30388,23044,24572,23994.74497,29025.34782,25006.35201,27967.75788,134,tdfp_arima,25478.78409,29055.1261,26594.22665,28192.81523,134,tdfp_arima,25477.82009,29055.06776,26593.28621,28192.61306,134,tdfp_arima
X135,33912,41465,32709,36284,30622.48621,39537.09434,32391.42009,37701.09954,135,tdfp_arima,31855.80856,39243.65069,34009.99694,37569.93611,135,tdfp_arima,31852.73017,39244.41533,34006.48661,37570.25165,135,tdfp_arima
X138,41858,51948,35453,51265,37489.40469,48410.29971,39713.40482,45754.44989,138,tdfp_arima,39808.06835,48459.96579,42235.16042,46122.63725,138,tdfp_arima,39798.24222,48459.37113,42225.57441,46120.57658,138,tdfp_arima
X140,39744,48861,39575,45864,36631.07046,46840.27817,38790.63808,44349.27709,140,tdfp_arima,38896.64743,46888.3335,41253.79905,44706.15698,140,tdfp_arima,38891.30707,46888.01031,41248.58919,44705.03704,140,tdfp_arima
