,WeekAct:2015-07-05,WeekAct:2015-07-12,WeekAct:2015-07-19,WeekAct:2015-07-26,WeekPred:2015-07-05,WeekPred:2015-07-12,WeekPred:2015-07-19,WeekPred:2015-07-26,Stores,Type,W-131,W-132,W-133,W-134,sMAPE
X95,35859,46335,33339,43987,33712.8455,43161.85158,32721.00666,46401.31641,95,SVD:AutoArima,0.061696064,0.070910839,0.01871006,0.053420984,5.118448666
X96,24612,34933,25538,37059,25248.70139,33635.85142,25912.09425,36657.28166,96,SVD:AutoArima,0.025539207,0.037834922,0.014542024,0.01089904,2.220379823
X97,38566,45898,34033,42418,32629.56397,45694.48063,33666.05693,45191.04354,97,SVD:AutoArima,0.166764211,0.004444019,0.010840419,0.063304961,6.133840255
X98,29127,37591,27169,31448,28641.03427,35781.16218,28406.13641,41291.67818,98,SVD:AutoArima,0.016824728,0.049333092,0.044521219,0.270654983,9.533350553
X101,41324,55887,36170,46946,38020.93707,48267.27852,33467.26806,55816.45677,101,SVD:AutoArima,0.083258316,0.146316053,0.077623147,0.172640029,11.99593864
X102,36247,46471,29490,44898,35708.14778,44993.19167,31389.74337,51658.73385,102,SVD:AutoArima,0.014977447,0.032314468,0.062409704,0.140036507,6.243453131
X103,28072,30947,24675,24968,27901.31934,30552.1289,27479.58162,33409.23599,103,SVD:AutoArima,0.006098643,0.012841518,0.107548811,0.289196151,10.39212811
X104,60967,68735,57671,53272,53343.35497,64713.21629,49859.76419,67946.89645,104,SVD:AutoArima,0.133385029,0.060274822,0.14528374,0.242122258,14.52664623
X105,25924,33178,25986,33037,27708.29388,34186.27539,26962.62026,37292.4203,105,SVD:AutoArima,0.066538041,0.029935018,0.036889356,0.121013945,6.359408998
X106,51707,62078,46659,47735,45137.93755,55169.90678,43336.42614,58930.77524,106,SVD:AutoArima,0.135661453,0.117837383,0.073838727,0.20992254,13.43150256
X107,43336,49429,42796,40615,39554.58747,44721.88516,37194.58369,51179.14425,107,SVD:AutoArima,0.091238647,0.099990878,0.140051892,0.23017033,14.0362937
X109,37149,45197,32764,35447,32680.37043,40753.69403,29596.89596,47025.82661,109,SVD:AutoArima,0.127987108,0.103391974,0.101573398,0.280791312,15.34359479
X110,26352,30955,26264,32070,20614.55477,26282.04861,20308.27027,29762.61817,110,SVD:AutoArima,0.244320464,0.163284149,0.255762912,0.07463316,18.45001712
X111,34572,47222,34646,41719,33249.75532,44373.06505,32127.28118,46940.87157,111,SVD:AutoArima,0.038991756,0.062207171,0.075440918,0.117795604,7.36088625
X112,36735,39790,39521,34581,33292.22481,37060.10839,28908.04471,41579.70093,112,SVD:AutoArima,0.098326764,0.071044574,0.310188615,0.183787724,16.5836919
X114,28885,35680,25822,30981,25316.34528,34189.41058,24450.19443,33465.19985,114,SVD:AutoArima,0.131681408,0.042667869,0.054575122,0.077093757,7.650453893
X116,37844,47350,37372,37711,35941.55758,45573.98679,34839.81123,46664.63486,116,SVD:AutoArima,0.051566797,0.038225076,0.07013226,0.212232711,9.303921084
X117,20056,23628,17373,21094,19121.19224,22751.85436,18763.82092,24830.26069,117,SVD:AutoArima,0.04772204,0.037781302,0.076975278,0.162714027,8.129816158
X118,44141,62009,37842,51688,39562.84474,54313.21772,38508.47313,59633.84656,118,SVD:AutoArima,0.109389366,0.132318356,0.017458258,0.142754487,10.04801167
X119,33005,39049,28783,32958,30008.10345,38059.71125,28014.42025,43147.33654,119,SVD:AutoArima,0.095119789,0.025659585,0.027063896,0.267769305,10.39031438
X120,36482,47236,38098,44971,34035.97067,46341.32053,34105.69387,48163.88699,120,SVD:AutoArima,0.06937322,0.019121716,0.11058454,0.06856479,6.691106635
X121,21810,27714,20073,25242,22126.87011,26890.31706,20127.05117,28161.46288,121,SVD:AutoArima,0.014423882,0.030169151,0.00268911,0.109336089,3.915455774
X122,51505,59765,58768,66797,38962.70177,51038.4188,35575.22771,56381.15472,122,SVD:AutoArima,0.277276818,0.157514656,0.491667984,0.169118385,27.38944607
X123,43262,56483,38807,52986,39794.14903,48046.92483,37951.2921,55911.35273,123,SVD:AutoArima,0.083506183,0.161409762,0.022296168,0.053726792,8.023472642
X124,25183,26199,20951,25394,25069.20871,28624.98431,23077.25439,32244.89045,124,SVD:AutoArima,0.004528808,0.088500839,0.096585905,0.237717638,10.68332974
X125,64230,80068,61915,73496,59318.02356,68770.45046,53301.21377,84054.14563,125,SVD:AutoArima,0.079515257,0.151809556,0.149523855,0.134029018,12.87194215
X126,26821,34754,23412,36343,24853.44011,35598.45971,22701.80339,35505.10446,126,SVD:AutoArima,0.076152151,0.024006544,0.03080191,0.023324082,3.857117181
X128,43237,58428,44254,50014,42377.27428,54094.78607,41341.44325,60467.75154,128,SVD:AutoArima,0.0200837,0.077019315,0.068054014,0.189239425,8.859911341
X130,26488,34131,29277,27850,24858.05897,33795.51173,26500.48178,36920.00758,130,SVD:AutoArima,0.063488457,0.009877977,0.099556959,0.280068134,11.32478817
X131,27139,33606,23531,24681,28412.10899,34325.51537,27128.80981,34118.55005,131,SVD:AutoArima,0.045835592,0.021183551,0.142038031,0.32100756,13.25161836
X133,30220,39518,27931,37680,28036.10125,36406.90845,25677.96783,38787.36395,133,SVD:AutoArima,0.074975795,0.081951802,0.084054301,0.028963048,6.748623659
X134,25958,30388,23044,24572,23530.19333,29023.21418,22162.732,29765.33801,134,SVD:AutoArima,0.098116601,0.045943711,0.038988352,0.191151727,9.355009799
X135,33912,41465,32709,36284,30939.87679,40164.82617,29341.3352,41472.46486,135,SVD:AutoArima,0.091658819,0.031855362,0.108546224,0.133454237,9.137866059
X138,41858,51948,35453,51265,36612.43388,48000.59442,38029.31045,52435.66318,138,SVD:AutoArima,0.133695352,0.078988716,0.070120562,0.022577738,7.63455918
X140,39744,48861,39575,45864,38551.04807,45334.98608,35499.1308,50831.12661,140,SVD:AutoArima,0.030473241,0.074865481,0.108582521,0.102737889,7.916478321
X141,28298,37114,27638,37480,27584.23755,36581.41727,24693.42962,36194.79422,141,SVD:AutoArima,0.025545235,0.014453619,0.112535446,0.034888615,4.685572875
X142,24001,28740,22314,24034,22535.79142,27673.85383,21479.64862,28955.36504,142,SVD:AutoArima,0.062969901,0.037797317,0.038103762,0.185749161,8.115503531
X143,31964,45140,30548,40168,32189.77922,40191.31736,27243.55079,46070.49318,143,SVD:AutoArima,0.007038688,0.11598749,0.11435752,0.13688767,9.356784178
X146,42649,54964,37827,47654,42793.81955,55369.29349,40824.34554,57515.57928,146,SVD:AutoArima,0.003389859,0.007346712,0.076218544,0.187536726,6.862296042
X147,42515,55425,38232,46406,43085.25054,52818.88576,39757.89674,56138.6919,147,SVD:AutoArima,0.013323572,0.048152636,0.039130626,0.189823417,7.260756277
X148,48539,59394,44032,46954,46802.54296,59015.38721,42386.70501,60361.56498,148,SVD:AutoArima,0.036426032,0.006394979,0.038077289,0.249871768,8.269251697
X150,47286,58713,45591,57782,42317.57251,52950.49251,40829.74913,58446.30928,150,SVD:AutoArima,0.110897978,0.103212023,0.110187679,0.01143111,8.393219733
X151,40156,45606,34701,43115,35420.90009,44586.17804,34739.14335,49882.18657,151,SVD:AutoArima,0.125305481,0.022614421,0.001098597,0.145535297,7.363844891
X152,27711,37540,24715,33968,26748.19536,35660.61235,26750.71093,39017.02603,152,SVD:AutoArima,0.035358754,0.05134896,0.079109407,0.138357861,7.604374524
X153,29916,41055,25502,39533,31705.47961,41245.93067,29130.3653,43040.43164,153,SVD:AutoArima,0.058079735,0.004639818,0.132828417,0.084953031,7.012525025
X154,48436,60034,46219,53519,45718.29263,60804.27228,43565.99457,59606.66733,154,SVD:AutoArima,0.057728804,0.012748813,0.059096856,0.107626633,5.93002765
X156,33107,44874,30638,44735,32666.7696,42441.72681,31120.86662,46568.63847,156,SVD:AutoArima,0.013386199,0.055712144,0.015637159,0.040165726,3.122530735
X157,51551,66924,46931,54913,50933.59242,64516.22199,50527.7985,69197.13376,157,SVD:AutoArima,0.012048788,0.036636852,0.073811673,0.23018481,8.817053095
X158,47507,55186,43595,49901,44537.73706,51764.6402,36745.49869,53017.82097,158,SVD:AutoArima,0.064517821,0.063980165,0.170511795,0.060568532,8.989457829
X160,28503,37758,30309,32832,27784.97996,34937.93717,26187.05645,38306.07562,160,SVD:AutoArima,0.025512375,0.077585156,0.145919691,0.15390002,10.07293107
X161,40391,46126,35920,39689,39110.82196,47956.39661,38292.72868,48447.21794,161,SVD:AutoArima,0.032204999,0.038910501,0.063943982,0.198742768,8.345056235
X162,39249,54565,38338,50637,36412.82444,51518.47512,36821.73684,54936.10833,162,SVD:AutoArima,0.07496979,0.05743637,0.040347751,0.081443246,6.35492894
X163,39866,40656,34218,33371,33394.21149,40646.02099,30723.99463,42146.99154,163,SVD:AutoArima,0.176679493,0.00024548,0.107603882,0.232421211,12.92375167
X166,29727,34614,28127,31527,28690.45441,33358.90406,27678.01667,38211.07058,166,SVD:AutoArima,0.03548753,0.036929302,0.016091146,0.191690723,7.004967515
X167,47582,63034,45302,61418,45969.01271,58891.72105,45176.84378,65792.59161,167,SVD:AutoArima,0.034483588,0.067947582,0.00276653,0.06877716,4.349371497
X168,39726,52610,39346,52381,37997.64443,47862.79927,35712.61916,51033.18362,168,SVD:AutoArima,0.044474383,0.094497232,0.096814487,0.026066374,6.546311896
X169,29860,39903,25420,35568,26399.51385,39022.4982,25570.55401,39071.24732,169,SVD:AutoArima,0.123018701,0.022312227,0.005905173,0.093871454,6.127688838
X170,21616,28152,20204,25539,18836.30268,25901.83588,18805.04706,26347.62327,170,SVD:AutoArima,0.137430857,0.083256408,0.071724538,0.031168853,8.089516426
X171,39570,52792,37440,45594,41707.95705,54056.24691,42001.08408,58219.23051,171,SVD:AutoArima,0.052608533,0.023664345,0.114829351,0.243229701,10.85829828
X173,42699,57762,40344,48471,39282.5528,49534.71142,34304.84342,55055.93872,173,SVD:AutoArima,0.083346731,0.153355839,0.161801745,0.127212082,13.14290992
X175,33350,43747,29381,33164,30836.58858,37848.45697,28249.06327,44612.86283,175,SVD:AutoArima,0.078315781,0.144580183,0.039282856,0.294402793,13.91454032
X176,26385,32682,22869,30490,26190.86702,33618.18321,24664.06871,34626.18556,176,SVD:AutoArima,0.00738487,0.028240743,0.075529258,0.127040167,5.95487597
X177,20084,25843,15516,22054,15891.24229,22804.23672,18186.06496,27340.89556,177,SVD:AutoArima,0.233091284,0.124930561,0.158451119,0.214066474,18.26348595
X178,53069,67289,49783,62139,49168.67632,66149.16696,49187.85004,67096.29602,178,SVD:AutoArima,0.076299146,0.017084063,0.012026773,0.07671737,4.553183794
X179,37868,47610,32981,44783,37306.02502,46642.16344,35008.2363,52861.77632,179,SVD:AutoArima,0.014951307,0.020537174,0.059634037,0.165472781,6.514882472
X180,39068,52316,35156,42399,35381.9769,46162.67659,31818.57797,49290.57208,180,SVD:AutoArima,0.099020127,0.12496763,0.099662353,0.15032401,11.84935302
X182,27760,36012,28282,34032,27767.1204,37693.06602,27335.18135,39105.65511,182,SVD:AutoArima,0.000256466,0.045616024,0.034047703,0.138742625,5.466570435
X184,33815,41783,31161,37341,32529.556,44314.62913,31510.81854,44292.88963,184,SVD:AutoArima,0.038750549,0.058808336,0.011163504,0.170318716,6.976027617
X185,32682,47461,29783,39125,32297.77845,43090.16907,31366.24682,45577.61794,185,SVD:AutoArima,0.011825881,0.096538366,0.051783036,0.152359351,7.812665819
X187,33406,43733,31202,37535,31496.48988,35831.89958,28188.05055,43573.75637,187,SVD:AutoArima,0.05884243,0.198607689,0.10149678,0.148905165,12.69630161
X188,26229,39848,26445,41989,26070.25372,33509.34474,23871.27136,35850.55056,188,SVD:AutoArima,0.00607069,0.172815831,0.102302041,0.157720578,10.97272852
X189,45209,55900,45588,50399,41056.83441,53913.17587,35892.60902,55267.55493,189,SVD:AutoArima,0.096264428,0.036185533,0.237980327,0.092149402,11.56449223
X193,24835,38057,25462,35530,23538.43902,32024.4489,23970.70099,38159.5775,193,SVD:AutoArima,0.053606318,0.172158287,0.060336538,0.071369048,8.936754771
X194,27956,32599,26415,32620,26175.99689,30838.82877,24079.66826,31839.9683,194,SVD:AutoArima,0.065765285,0.055492796,0.092498152,0.02420205,5.94895707
X195,57015,66674,49347,60232,54657.34366,70292.29238,55875.9405,73949.31102,195,SVD:AutoArima,0.042224534,0.052834786,0.124097283,0.204459338,10.59039853
X196,28950,33234,25922,31023,25122.19183,32639.66535,25934.39913,36410.45157,196,SVD:AutoArima,0.141581395,0.018044681,0.00047821,0.159785728,7.997250355
X197,34431,47821,32275,41890,31397.01542,42891.97352,30550.10612,44827.3152,197,SVD:AutoArima,0.09217913,0.108673022,0.054910974,0.067744607,8.087693297
X198,13446,20220,11857,19524,12485.51076,18364.24597,12322.71522,21515.05555,198,SVD:AutoArima,0.074078927,0.096192318,0.03852115,0.097032231,7.645615631
X199,43018,56930,44360,51350,43478.18185,56430.05032,38162.44429,55191.1808,199,SVD:AutoArima,0.010640512,0.008820562,0.150202912,0.072106969,6.044273878
X200,43160,47197,35962,40999,39388.20919,49800.22864,39661.56528,52678.23991,200,SVD:AutoArima,0.091383952,0.053676351,0.097841599,0.249350641,12.30631359
X201,29340,35977,30055,31066,26914.48114,33787.57153,25336.33149,37420.57623,201,SVD:AutoArima,0.086233801,0.062766198,0.170375703,0.185571438,12.6236785
X202,35958,42665,35488,37764,34446.08688,40803.9407,33219.88458,41725.17899,202,SVD:AutoArima,0.042949584,0.044592858,0.066021984,0.099665867,6.330757324
X203,39557,47245,34808,40804,33927.99324,44492.84875,34028.50177,44729.39195,203,SVD:AutoArima,0.153201532,0.060000344,0.022647816,0.091786187,8.190896982
X205,33627,44763,32779,37963,29903.20677,40514.14473,27620.26398,46096.32025,205,SVD:AutoArima,0.117229061,0.09964816,0.170821155,0.193513824,14.53030498
X206,39729,50199,35770,44338,42258.40163,53145.76246,41035.0657,54709.373,206,SVD:AutoArima,0.061702203,0.057027805,0.137102043,0.209422475,11.63136312
X207,58200,81625,52320,69136,53775.50865,70779.76898,51839.76507,79144.7456,207,SVD:AutoArima,0.079026055,0.142321413,0.009221122,0.134997239,9.1391457
X208,17267,21245,15626,18078,14610.89114,20033.38268,14357.71565,20241.11731,208,SVD:AutoArima,0.166642696,0.05870469,0.084598211,0.112900164,10.571144
X209,39174,46735,41943,46130,32622.41565,40115.96857,30655.46022,47924.62983,209,SVD:AutoArima,0.182504497,0.152422743,0.310958104,0.038161435,17.10116948
X210,14965,21062,14607,19651,15512.22898,19759.79395,13701.24885,20988.61687,210,SVD:AutoArima,0.035910678,0.06379955,0.06399203,0.065828222,5.738262016
